Team,W-L,Win %,MOV,ATS +/-,Season
Old Dominion,5-7,41.7,0.0,4.5,2024
Old Dominion,6-7,46.2,-0.2,7.7,2021
Old Dominion,6-7,46.2,-3.3,1.7,2023
Old Dominion,3-9,25.0,-7.1,-0.2,2022
Oregon,13-1,92.9,15.4,-2.3,2024
Oregon,10-4,71.4,4.4,-5.3,2021
Oregon,10-3,76.9,11.4,1.3,2022
Oregon,12-2,85.7,27.7,8.3,2023
Oregon St,10-3,76.9,12.2,8.2,2022
Oregon St,7-6,53.9,5.5,1.8,2021
Oregon St,5-7,41.7,-5.7,-4.8,2024
Oregon St,8-5,61.5,8.9,1.3,2023
Penn St,11-2,84.6,17.5,7.3,2022
Penn St,10-3,76.9,22.8,4.3,2023
Penn St,7-6,53.9,7.7,0.9,2021
Penn St,13-3,81.3,16.6,1.3,2024
Pittsburgh,7-6,53.9,4.5,1.2,2024
Pittsburgh,9-4,69.2,7.0,0.3,2022
Pittsburgh,3-9,25.0,-7.2,-6.6,2023
Pittsburgh,11-3,78.6,17.8,6.5,2021
Purdue,9-4,69.2,6.7,4.8,2021
Purdue,4-8,33.3,-6.5,-2.2,2023
Purdue,8-6,57.1,-0.8,-3.9,2022
Purdue,1-11,8.3,-24.2,-11.2,2024
Rice,6-7,46.2,1.5,3.8,2023
Rice,4-8,33.3,-3.3,-1.7,2024
Rice,5-8,38.5,-8.9,-1.4,2022
Rice,4-8,33.3,-14.7,-7.0,2021
Rutgers,7-6,53.9,3.5,1.3,2024
Rutgers,7-6,53.9,2.0,1.9,2023
Rutgers,4-8,33.3,-11.8,-5.8,2022
Rutgers,5-8,38.5,-5.9,-2.3,2021
S Alabama,7-6,53.9,9.2,4.5,2024
S Alabama,10-3,76.9,9.9,3.0,2022
S Alabama,5-7,41.7,-1.5,-0.5,2021
S Alabama,7-6,53.9,12.1,3.9,2023
S Carolina,5-7,41.7,-0.3,1.4,2023
S Carolina,7-6,53.9,-1.4,3.0,2021
S Carolina,8-5,61.5,3.3,3.7,2022
S Carolina,9-4,69.2,12.4,7.5,2024
S Florida,1-11,8.3,-13.2,-2.9,2022
S Florida,7-6,53.9,2.4,0.1,2024
S Florida,2-10,16.7,-11.5,0.8,2021
S Florida,7-6,53.9,-0.3,3.1,2023
S Methodist,8-4,66.7,10.0,0.3,2021
S Methodist,11-3,78.6,20.9,7.0,2023
S Methodist,7-6,53.9,3.4,-3.2,2022
S Methodist,11-3,78.6,14.4,3.0,2024
S Mississippi,7-6,53.9,1.8,2.8,2022
S Mississippi,3-9,25.0,-12.6,-5.4,2023
S Mississippi,3-9,25.0,-10.3,-1.5,2021
S Mississippi,1-11,8.3,-22.5,-9.0,2024
Sam Hous St,3-9,25.0,-6.2,-0.1,2023
Sam Hous St,0-1,0.0,-31.0,4.5,2022
Sam Hous St,10-3,76.9,3.3,2.5,2024
