Offensive Rank,Team,G,Offense TDs,Total Offense YPG,Season,Rushing Rank,Rushing TDs,Rush YPG,Passing Rank,Int,Passing TDs,Pass YPG,Defensive Rank,Opp TDs,Total Defense YPG,Rushing Defensive Rank,Opp Rush TDs,Opp Rush YPG,Passing Defensive Rank,Opp Pass TDs,Opp Pass YPG,TM Rank,Fumbles Recovered,Fumbles Lost,Turnover Margin,PPG Rank,Penalties,Penalties Per Game,Penalty YPG Rank,Penalty YPG,TOP Rank,Avg Time of Possession,ATP Rank,Conference,Wins,Losses
86,Toledo ,13,41,369.9,2024,108,13,115.7,40,8,28,254.2,54,33,358.6,70,16,150.7,47,16,207.9,55,7,11,1,87,83,6.38,88,56.85,126,26:56,,MAC,8,5
87,Troy ,12,38,369.2,2024,75,17,156.2,83,9,21,213.0,62,39,366.9,59,24,145.3,71,13,221.6,109,3,7,-7,96,80,6.67,96,58.83,59,30:17,,Sun Belt,4,8
88,Virginia Tech ,13,43,367.8,2024,43,28,178.4,108,9,15,189.4,57,37,363.0,63,17,147.1,61,20,215.9,24,10,8,8,63,74,5.69,52,48.85,89,29:12,,ACC,6,7
89,Hawaii ,12,32,365.8,2024,124,7,97.7,23,15,25,268.2,75,39,376.9,92,20,165.7,49,18,211.3,114,5,4,-8,124,96,8.00,123,70.33,57,30:21,,Mountain West,5,7
90,Boston College ,13,48,365.4,2024,60,24,166.1,99,7,24,199.3,55,35,360.7,22,16,114.9,109,17,245.8,17,8,9,9,11,58,4.46,21,43.08,26,31:43,,ACC,7,6
90,Ga. Southern ,13,45,365.4,2024,101,24,127.6,53,11,21,237.8,115,46,428.6,95,23,170.0,119,21,258.6,81,6,11,-3,57,73,5.62,49,48.31,51,30:30,,Sun Belt,8,5
92,Illinois ,13,44,364.8,2024,79,22,153.6,86,6,22,211.2,68,33,373.2,65,12,148.4,78,19,224.8,35,8,8,6,31,68,5.23,15,40.15,92,29:04,,Big Ten,10,3
93,Virginia ,12,30,360.9,2024,94,14,131.9,64,14,16,229.0,101,41,408.3,58,20,145.3,120,20,263.1,92,6,5,-4,30,62,5.17,32,45.33,73,29:54,,ACC,5,7
94,Nebraska ,13,35,359.0,2024,96,22,130.6,65,12,13,228.4,18,32,317.9,8,8,101.2,65,23,216.7,73,6,7,-2,81,81,6.23,78,53.15,14,32:07,,Big Ten,7,6
95,Buffalo ,13,43,355.4,2024,52,24,169.1,110,6,19,186.3,91,43,391.8,62,17,146.6,108,25,245.2,17,9,7,9,11,58,4.46,25,43.38,97,28:53,,MAC,9,4
96,Arizona ,12,29,354.5,2024,119,11,106.6,42,13,18,247.9,105,49,413.0,98,25,174.0,102,22,239.0,92,8,7,-4,92,78,6.50,91,57.58,76,29:45,,Big 12,4,8
97,Rice ,12,31,352.9,2024,113,14,113.9,51,13,17,239.0,35,39,334.4,84,17,160.6,8,18,173.8,125,4,9,-10,109,85,7.08,90,57.42,102,28:42,,The American,4,8
98,Miami (OH) ,14,37,352.7,2024,91,14,135.3,80,12,23,217.4,33,31,331.4,47,20,137.1,34,10,194.3,42,10,6,5,33,74,5.29,19,41.79,95,28:58,,MAC,9,5
