Team,Win %,MOV,ATS +/-,Season,Wins,Losses
Nebraska,33.3,-5.0,-3.0,2022,4,8
Nebraska,41.7,-0.3,-0.8,2023,5,7
Nevada,23.1,-5.7,1.5,2024,3,10
Nevada,61.5,9.2,2.2,2021,8,5
Nevada,16.7,-12.1,-2.4,2022,2,10
Nevada,16.7,-16.1,-2.1,2023,2,10
New Mexico,33.3,-7.8,1.5,2023,4,8
New Mexico,16.7,-12.9,-2.8,2022,2,10
New Mexico,25.0,-16.3,-6.8,2021,3,9
New Mexico,41.7,-4.5,0.7,2024,5,7
North Texas,46.2,-0.6,-0.4,2024,6,7
North Texas,50.0,2.1,1.6,2022,7,7
North Texas,41.7,-2.6,0.3,2023,5,7
North Texas,46.2,0.0,5.4,2021,6,7
Northwestern,25.0,-12.4,-8.1,2021,3,9
Northwestern,61.5,-0.5,6.5,2023,8,5
Northwestern,33.3,-8.5,-1.8,2024,4,8
Northwestern,8.3,-14.6,-3.9,2022,1,11
Notre Dame,84.6,15.5,7.8,2021,11,2
Notre Dame,69.2,8.8,1.5,2022,9,4
Notre Dame,87.5,20.6,9.3,2024,14,2
Notre Dame,76.9,23.2,7.6,2023,10,3
Ohio,78.6,11.1,7.6,2024,11,3
Ohio,25.0,-7.8,-5.8,2021,3,9
Ohio,71.4,3.5,6.1,2022,10,4
Ohio,76.9,8.5,-1.5,2023,10,3
Ohio St,84.6,23.2,-2.2,2022,11,2
Ohio St,84.6,22.9,4.3,2021,11,2
Ohio St,87.5,22.8,3.0,2024,14,2
Ohio St,84.6,19.3,1.0,2023,11,2
Oklahoma,84.6,13.3,-3.5,2021,11,2
Oklahoma,76.9,18.2,4.0,2023,10,3
Oklahoma,46.2,2.5,-2.2,2024,6,7
Oklahoma,46.2,2.8,-5.5,2022,6,7
Oklahoma St,85.7,13.0,5.4,2021,12,2
Oklahoma St,25.0,-8.4,-7.3,2024,3,9
Oklahoma St,71.4,1.0,-1.2,2023,10,4
Oklahoma St,53.9,1.7,-3.7,2022,7,6
Old Dominion,25.0,-7.1,-0.2,2022,3,9
Old Dominion,46.2,-0.2,7.7,2021,6,7
Old Dominion,46.2,-3.3,1.7,2023,6,7
Old Dominion,41.7,0.0,4.5,2024,5,7
Oregon,71.4,4.4,-5.3,2021,10,4
Oregon,85.7,27.7,8.3,2023,12,2
Oregon,92.9,15.4,-2.3,2024,13,1
Oregon,76.9,11.4,1.3,2022,10,3
Oregon St,41.7,-5.7,-4.8,2024,5,7
Oregon St,61.5,8.9,1.3,2023,8,5
Oregon St,76.9,12.2,8.2,2022,10,3
Oregon St,53.9,5.5,1.8,2021,7,6
Penn St,84.6,17.5,7.3,2022,11,2
Penn St,81.3,16.6,1.3,2024,13,3
Penn St,76.9,22.8,4.3,2023,10,3
Penn St,53.9,7.7,0.9,2021,7,6
Pittsburgh,78.6,17.8,6.5,2021,11,3
Pittsburgh,25.0,-7.2,-6.6,2023,3,9
Pittsburgh,53.9,4.5,1.2,2024,7,6
Pittsburgh,69.2,7.0,0.3,2022,9,4
Purdue,33.3,-6.5,-2.2,2023,4,8
Purdue,57.1,-0.8,-3.9,2022,8,6
Purdue,69.2,6.7,4.8,2021,9,4
Purdue,8.3,-24.2,-11.2,2024,1,11
Rice,33.3,-14.7,-7.0,2021,4,8
Rice,33.3,-3.3,-1.7,2024,4,8
Rice,46.2,1.5,3.8,2023,6,7
Rice,38.5,-8.9,-1.4,2022,5,8
Rutgers,53.9,3.5,1.3,2024,7,6
Rutgers,38.5,-5.9,-2.3,2021,5,8
Rutgers,33.3,-11.8,-5.8,2022,4,8
Rutgers,53.9,2.0,1.9,2023,7,6
S Alabama,53.9,12.1,3.9,2023,7,6
S Alabama,41.7,-1.5,-0.5,2021,5,7
S Alabama,76.9,9.9,3.0,2022,10,3
S Alabama,53.9,9.2,4.5,2024,7,6
S Carolina,53.9,-1.4,3.0,2021,7,6
S Carolina,41.7,-0.3,1.4,2023,5,7
S Carolina,61.5,3.3,3.7,2022,8,5
S Carolina,69.2,12.4,7.5,2024,9,4
S Florida,53.9,2.4,0.1,2024,7,6
S Florida,8.3,-13.2,-2.9,2022,1,11
S Florida,16.7,-11.5,0.8,2021,2,10
S Florida,53.9,-0.3,3.1,2023,7,6
S Methodist,78.6,20.9,7.0,2023,11,3
S Methodist,66.7,10.0,0.3,2021,8,4
S Methodist,78.6,14.4,3.0,2024,11,3
S Methodist,53.9,3.4,-3.2,2022,7,6
